VEHICLE
NUMBER,CAPACITY
20,10000

CUSTOMER
CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
798,4727,5661,500,0,1235,90
799,1466,997,2000,0,8190,90
800,865,7530,1749,0,3110,90
801,7422,3155,2000,0,1610,90
802,8453,5345,250,0,9832,90
803,8325,1860,2249,0,4818,90
804,2759,5830,1000,0,9845,90
805,9299,572,1250,0,2918,90
806,8182,1646,500,0,8680,90
807,4397,3665,2000,0,4884,90
808,657,7878,500,0,9785,90
809,5123,1768,2249,0,9078,90
810,5208,5910,1500,0,5315,90
811,4445,1430,2000,0,2652,90
812,9612,4177,1250,0,6021,90
813,1300,6509,1749,0,6903,90
814,5879,2547,250,0,6908,90
815,2874,8052,2249,0,3023,90
816,562,2781,2000,0,8283,90
817,9367,8384,2249,0,242,90
818,9081,5946,1749,0,8144,90
819,7735,3440,1749,0,3559,90
820,3838,3779,2249,0,5661,90
821,4259,7068,2249,0,7836,90
822,2441,1777,1500,0,6413,90
823,2164,7243,2249,0,3519,90
824,6314,7945,750,0,7236,90
825,7857,1449,1250,0,1805,90
826,874,2567,1500,0,5243,90
827,6401,5697,1500,0,372,90
828,8893,9181,1749,0,1980,90
829,1523,1189,1250,0,4427,90
830,100,2798,2000,0,6864,90
831,1229,4576,1250,0,7291,90
832,1884,76,250,0,421,90
833,8963,9975,2000,0,8582,90
834,8060,301,1000,0,2340,90
835,5353,6100,1749,0,2410,90
836,8514,4099,1749,0,3661,90
837,2613,7547,750,0,710,90
838,7910,7872,2249,0,9728,90
839,9477,4002,500,0,1535,90
840,6582,5256,1000,0,3617,90
841,4181,4075,2000,0,6569,90
842,3712,8438,750,0,2286,90
843,4708,5848,1250,0,2925,90
844,1657,5471,2249,0,2098,90
845,5388,5076,500,0,1963,90
846,6430,5446,2000,0,8398,90
847,3182,7881,750,0,8062,90
848,5644,4155,750,0,7927,90
849,3279,9206,500,0,266,90
850,9304,106,1250,0,3994,90
851,930,1340,500,0,2855,90
852,6273,2616,1500,0,2686,90
853,5825,5549,1250,0,3052,90
854,2003,6570,2249,0,8929,90
855,9432,3567,250,0,9747,90
856,318,4735,1000,0,9128,90
857,674,4992,1250,0,5794,90
858,6921,761,1500,0,3609,90
859,2298,4973,1250,0,3845,90
860,5427,4949,500,0,2711,90
861,8012,3079,1500,0,4156,90
862,1140,5602,1500,0,1946,90
863,7691,4351,1250,0,8142,90
864,835,5985,1000,0,2458,90
865,8460,1832,1749,0,5764,90
866,9129,1036,1500,0,3712,90
867,1268,40,750,0,2847,90
868,7845,5604,2249,0,3618,90
869,6605,5218,1000,0,6331,90
870,7957,2516,2249,0,8720,90
871,5304,563,1000,0,1674,90
872,1373,1419,500,0,6964,90
873,6637,1078,2249,0,2344,90
874,7570,4542,1500,0,6647,90
875,6941,3567,1749,0,2912,90
876,7680,8173,2000,0,612,90
877,9267,2070,500,0,6920,90
878,6009,344,1000,0,7414,90
879,2929,423,1500,0,5540,90
880,972,3009,250,0,9112,90
881,602,5831,500,0,5186,90
882,7244,7507,2249,0,1131,90
883,6980,1133,500,0,800,90
884,2869,2621,1749,0,7350,90
885,662,21,1500,0,5342,90
886,2693,338,1749,0,4219,90
887,4678,5408,250,0,5852,90
888,2047,2287,500,0,2490,90
889,6533,196,1749,0,9207,90
890,2994,4804,1250,0,9477,90
891,5212,9589,750,0,4062,90
892,7606,8034,1500,0,351,90
893,3295,3767,250,0,715,90
894,6870,7072,500,0,8586,90
895,1108,2677,1250,0,384,90
896,305,4009,2000,0,7286,90
897,61,6688,250,0,4892,90
898,8688,3758,2249,0,7285,90
899,2811,1013,2000,0,220,90
900,8057,4842,750,0,1503,90
901,8766,1522,500,0,2683,90
902,2197,7332,1500,0,6591,90
903,655,8155,250,0,7315,90
904,8597,316,750,0,530,90
905,668,4730,1250,0,7488,90
906,2056,2254,2249,0,141,90
907,4343,2329,2249,0,5886,90
908,8284,8914,1000,0,2880,90
909,8143,9613,2249,0,6832,90
910,6638,459,2000,0,1038,90
911,8755,9429,1500,0,1432,90
912,9691,7493,1500,0,6337,90
913,9327,884,250,0,9918,90
914,8343,7313,2000,0,9581,90
915,9614,1146,1749,0,8863,90
916,2634,1974,1500,0,5957,90
917,1455,2695,2249,0,5026,90
918,839,1957,250,0,8053,90
919,9475,9697,750,0,9891,90
920,38,1842,750,0,9272,90
921,9279,6865,1000,0,4790,90
922,8147,9900,250,0,143,90
923,806,5735,750,0,8360,90
924,8665,2464,500,0,3053,90
925,5933,9758,750,0,4215,90
926,1938,2929,750,0,9642,90
927,4964,6537,2249,0,6934,90
928,6066,7078,750,0,9629,90
929,3142,4458,2249,0,5126,90
930,3010,4372,1500,0,8772,90
931,507,9535,2249,0,3204,90
932,1788,767,2249,0,1264,90
933,9367,8358,1250,0,1235,90
934,9726,8231,1250,0,5064,90
935,331,5694,750,0,5673,90
936,1475,5800,500,0,4136,90
937,834,4552,1000,0,376,90
938,8591,3255,750,0,7734,90
939,3375,9181,750,0,4443,90
940,6372,1659,1000,0,7687,90
941,8741,955,1500,0,6859,90
942,5901,6327,500,0,5399,90
943,3326,1611,1000,0,1060,90
944,6407,3877,1749,0,3357,90
945,8165,2293,750,0,1298,90
946,6651,5756,2249,0,3368,90
947,793,423,750,0,218,90
948,8570,1475,750,0,9110,90
949,1030,1063,1000,0,5488,90
950,2932,5301,1749,0,579,90
951,8663,8687,500,0,4493,90
952,3565,981,750,0,8749,90
953,4382,9474,1250,0,9772,90
954,415,3108,250,0,9327,90
955,7822,7955,1000,0,4674,90
956,8525,5438,750,0,8688,90
957,5906,1391,750,0,7802,90
958,347,1552,1000,0,7486,90
959,7569,3687,250,0,8889,90
960,2828,2417,2000,0,8545,90
961,8713,3670,1500,0,9470,90
962,8880,9498,250,0,7811,90
963,8727,3720,2000,0,2172,90
964,6458,4326,250,0,239,90
965,7306,6989,750,0,6286,90
966,4302,4038,1000,0,9725,90
967,6011,6488,1250,0,4568,90
968,1140,7053,1250,0,9700,90
969,3597,4229,2249,0,9652,90
970,3135,5683,500,0,8988,90
971,335,9768,1500,0,4850,90
972,9705,2822,1749,0,7862,90
973,6578,7770,2249,0,9556,90
974,9454,6681,1500,0,2827,90
975,4505,8402,750,0,5933,90
976,8225,9301,250,0,9013,90
977,7020,8006,500,0,3257,90
978,9589,3858,1749,0,9618,90
979,7325,1285,500,0,1242,90
980,2053,8831,1000,0,5054,90
981,6958,7109,1500,0,3643,90
982,3697,5782,2000,0,4166,90
983,838,5941,1500,0,7687,90
984,1769,4208,750,0,737,90
985,2398,1275,1250,0,5853,90
986,8956,9100,1500,0,9182,90
987,6288,1575,250,0,6928,90
988,7305,9890,1749,0,9586,90
989,7797,9795,1749,0,4741,90
990,8049,4197,250,0,3547,90
991,4650,7563,1000,0,112,90
992,8101,1413,1500,0,6169,90
993,811,3575,500,0,5348,90
994,9687,6917,2000,0,8392,90
995,226,2128,250,0,303,90
996,7262,6732,750,0,2625,90
997,383,3586,500,0,5470,90
998,7511,8656,1000,0,9268,90
999,9542,8795,2000,0,8204,90
1000,8659,7120,1749,0,1411,90
